instance_id,task,condition,style,gold,model,model_family,is_think,node_naming,predicted,predicted_first,looped_on_correct_answer,parsed,exact,primary,truncated_but_correct,truncated_but_partial_credit,absolute_error,non_terminating,non_terminating_source,n_new_tokens,wording,has_marker,shortcut_score,response_len_chars,failure_type,length_outlier
node_count/0,node_count,all,zero_shot, 18.,gemma4-12b-think,gemma4-12b,True,got,18,1,,True,1.0,1.0,False,False,0.0,False,generator,888,unaffected,False,1.0,1595,correct,False
node_count/0,node_count,rwse,zero_shot, 18.,gemma4-12b-think,gemma4-12b,True,got,18,1,,True,1.0,1.0,False,False,0.0,False,generator,1220,unaffected,False,1.0,2292,correct,False
node_count/1,node_count,none,zero_shot, 10.,gemma4-12b-think,gemma4-12b,True,got,10,0,,True,1.0,1.0,False,False,0.0,False,generator,1525,unaffected,False,0.064,2772,correct,False
node_count/2,node_count,filler,zero_shot, 9.,gemma4-12b-think,gemma4-12b,True,got,9,0,,True,1.0,1.0,False,False,0.0,False,generator,393,revised,False,1.0,790,correct,False
node_count/3,node_count,degree,zero_shot, 11.,gemma4-12b-think,gemma4-12b,True,got,11,0,,True,1.0,1.0,False,False,0.0,False,generator,1117,unaffected,False,1.0,1870,correct,False
node_count/4,node_count,components,zero_shot, 8.,gemma4-12b-think,gemma4-12b,True,got,8,0,,True,1.0,1.0,False,False,0.0,False,generator,1121,unaffected,False,0.076,2336,correct,False
node_count/5,node_count,clustering,zero_shot, 17.,gemma4-12b-think,gemma4-12b,True,got,17,1,,True,1.0,1.0,False,False,0.0,False,generator,847,unaffected,False,1.0,1539,correct,False
node_count/6,node_count,all,zero_shot, 19.,gemma4-12b-think,gemma4-12b,True,got,19,1,,True,1.0,1.0,False,False,0.0,False,generator,1656,unaffected,False,1.0,2992,correct,False
node_count/6,node_count,rwse,zero_shot, 19.,gemma4-12b-think,gemma4-12b,True,got,19,1,,True,1.0,1.0,False,False,0.0,False,generator,1897,unaffected,False,1.0,3299,correct,False
node_count/7,node_count,none,zero_shot, 8.,gemma4-12b-think,gemma4-12b,True,got,8,0,,True,1.0,1.0,False,False,0.0,False,generator,668,unaffected,False,0.064,1267,correct,False
