instance_id,task,condition,style,gold,model,model_family,is_think,node_naming,predicted,predicted_first,looped_on_correct_answer,parsed,exact,primary,truncated_but_correct,truncated_but_partial_credit,absolute_error,non_terminating,non_terminating_source,n_new_tokens,wording,has_marker,shortcut_score,response_len_chars,failure_type,length_outlier
node_count/0,node_count,degree,zero_shot, 18.,qwen3-8b,qwen3-8b,False,got,18,18,,True,1.0,1.0,False,False,0.0,False,generator,153,unaffected,True,1.0,343,correct,False
node_count/4,node_count,degree,zero_shot, 8.,qwen3-8b,qwen3-8b,False,got,8,8,,True,1.0,1.0,False,False,0.0,False,generator,139,unaffected,True,1.0,347,correct,False
node_count/8,node_count,degree,zero_shot, 18.,qwen3-8b,qwen3-8b,False,got,18,18,,True,1.0,1.0,False,False,0.0,False,generator,206,unaffected,True,1.0,353,correct,False
node_count/12,node_count,degree,zero_shot, 12.,qwen3-8b,qwen3-8b,False,got,12,12,,True,1.0,1.0,False,False,0.0,False,generator,162,unaffected,True,1.0,337,correct,False
node_count/16,node_count,degree,zero_shot, 18.,qwen3-8b,qwen3-8b,False,got,18,18,,True,1.0,1.0,False,False,0.0,False,generator,214,unaffected,True,1.0,383,correct,False
node_count/20,node_count,degree,zero_shot, 14.,qwen3-8b,qwen3-8b,False,got,14,14,,True,1.0,1.0,False,False,0.0,False,generator,172,unaffected,True,1.0,319,correct,False
node_count/24,node_count,degree,zero_shot, 10.,qwen3-8b,qwen3-8b,False,got,10,10,,True,1.0,1.0,False,False,0.0,False,generator,73,unaffected,True,1.0,173,correct,False
node_count/28,node_count,degree,zero_shot, 19.,qwen3-8b,qwen3-8b,False,got,19,19,,True,1.0,1.0,False,False,0.0,False,generator,223,unaffected,True,1.0,396,correct,False
node_count/32,node_count,degree,zero_shot, 14.,qwen3-8b,qwen3-8b,False,got,14,14,,True,1.0,1.0,False,False,0.0,False,generator,172,unaffected,True,1.0,319,correct,False
node_count/36,node_count,degree,zero_shot, 11.,qwen3-8b,qwen3-8b,False,got,11,11,,True,1.0,1.0,False,False,0.0,False,generator,154,unaffected,True,1.0,343,correct,False
node_count/40,node_count,degree,zero_shot, 8.,qwen3-8b,qwen3-8b,False,got,8,8,,True,1.0,1.0,False,False,0.0,False,generator,141,unaffected,True,1.0,332,correct,False
node_count/44,node_count,degree,zero_shot, 17.,qwen3-8b,qwen3-8b,False,got,17,17,,True,1.0,1.0,False,False,0.0,False,generator,194,unaffected,True,1.0,337,correct,False
node_count/48,node_count,degree,zero_shot, 11.,qwen3-8b,qwen3-8b,False,got,11,11,,True,1.0,1.0,False,False,0.0,False,generator,304,unaffected,True,1.0,864,correct,True
node_count/52,node_count,degree,zero_shot, 10.,qwen3-8b,qwen3-8b,False,got,10,10,,True,1.0,1.0,False,False,0.0,False,generator,140,unaffected,True,1.0,319,correct,False
node_count/56,node_count,degree,zero_shot, 15.,qwen3-8b,qwen3-8b,False,got,15,15,,True,1.0,1.0,False,False,0.0,False,generator,196,unaffected,True,1.0,387,correct,False
node_count/60,node_count,degree,zero_shot, 18.,qwen3-8b,qwen3-8b,False,got,18,18,,True,1.0,1.0,False,False,0.0,False,generator,213,unaffected,True,1.0,380,correct,False
node_count/64,node_count,degree,zero_shot, 12.,qwen3-8b,qwen3-8b,False,got,12,12,,True,1.0,1.0,False,False,0.0,False,generator,210,unaffected,True,1.0,608,correct,False
