instance_id,task,condition,style,gold,model,model_family,is_think,node_naming,predicted,predicted_first,looped_on_correct_answer,parsed,exact,primary,truncated_but_correct,truncated_but_partial_credit,absolute_error,non_terminating,non_terminating_source,n_new_tokens,wording,has_marker,shortcut_score,response_len_chars,failure_type,length_outlier
node_count/size40/p0.1/0,node_count,none,zero_shot,40,qwen3-1.7b-think,qwen3-1.7b,True,integer,40,0,,True,1.0,1.0,False,False,0.0,False,generator,1326,unaffected,True,1.0,2715,correct,False
connected_nodes/size40/p0.1/0,connected_nodes,rwse,zero_shot,"15, 39",qwen3-1.7b-think,qwen3-1.7b,True,integer,"15, 39",16,,True,1.0,1.0,False,False,,False,generator,1334,unaffected,True,0.0014285714285714,4522,correct,False
edge_count/size40/p0.1/1,edge_count,components,zero_shot,88,qwen3-1.7b-think,qwen3-1.7b,True,integer,25,39,False,True,0.0,0.0,False,False,63.0,True,generator,8192,unaffected,False,0.0304761904761904,23480,non_terminating,False
edge_existence/size40/p0.1/1,edge_existence,filler,zero_shot,No,qwen3-1.7b-think,qwen3-1.7b,True,integer,No,No,,True,1.0,1.0,False,False,,False,generator,548,revised,True,0.7352380952380952,1614,correct,False
node_degree/size40/p0.1/2,node_degree,degree,zero_shot,3,qwen3-1.7b-think,qwen3-1.7b,True,integer,3,3,,True,1.0,1.0,False,False,0.0,False,generator,1534,unaffected,True,1.0,4275,correct,False
cycle_check/size40/p0.1/2,cycle_check,all,zero_shot,"Yes, there is a cycle",qwen3-1.7b-think,qwen3-1.7b,True,integer,Yes,Yes,,True,1.0,1.0,False,False,,False,generator,3647,unaffected,True,1.0,8429,correct,False
connected_nodes/size40/p0.1/3,connected_nodes,clustering,zero_shot,"32, 35, 38",qwen3-1.7b-think,qwen3-1.7b,True,integer,"32, 35, 38",6,,True,1.0,1.0,False,False,,False,generator,880,unaffected,True,0.0,2919,correct,False
edge_count/size40/p0.1/4,edge_count,none,zero_shot,80,qwen3-1.7b-think,qwen3-1.7b,True,integer,4,0,False,True,0.0,0.0,False,False,76.0,True,generator,8192,unaffected,False,0.0304761904761904,16291,non_terminating,False
edge_existence/size40/p0.1/4,edge_existence,rwse,zero_shot,No,qwen3-1.7b-think,qwen3-1.7b,True,integer,No,No,,True,1.0,1.0,False,False,,False,generator,550,revised,True,0.5538095238095239,1943,correct,False
node_degree/size40/p0.1/5,node_degree,components,zero_shot,5,qwen3-1.7b-think,qwen3-1.7b,True,integer,5,5,,True,1.0,1.0,False,False,0.0,False,generator,1425,unaffected,True,0.1442857142857143,3426,correct,False
cycle_check/size40/p0.1/5,cycle_check,filler,zero_shot,"Yes, there is a cycle",qwen3-1.7b-think,qwen3-1.7b,True,integer,Yes,Yes,,True,1.0,1.0,False,False,,False,generator,1403,revised,True,1.0,4026,correct,False
connected_nodes/size40/p0.1/6,connected_nodes,degree,zero_shot,"16, 18",qwen3-1.7b-think,qwen3-1.7b,True,integer,"16, 18, 33",31,False,True,0.0,0.0,False,True,,True,generator,8192,unaffected,False,0.0014285714285714,25050,non_terminating,True
