instance_id,task,condition,style,gold,model,model_family,is_think,node_naming,predicted,predicted_first,looped_on_correct_answer,parsed,exact,primary,truncated_but_correct,truncated_but_partial_credit,absolute_error,non_terminating,non_terminating_source,n_new_tokens,wording,has_marker,shortcut_score,response_len_chars,failure_type,length_outlier
node_count/size40/p0.1/0,node_count,none,zero_shot,40,qwen3-1.7b-think,qwen3-1.7b,True,integer,40,0,,True,1.0,1.0,False,False,0.0,False,generator,1326,unaffected,True,0.064,2715,correct,False
connected_nodes/size40/p0.1/0,connected_nodes,rwse,zero_shot,"15, 39",qwen3-1.7b-think,qwen3-1.7b,True,integer,"15, 39",16,,True,1.0,1.0,False,False,,False,generator,1334,unaffected,True,0.082,4522,correct,False
edge_count/size40/p0.1/1,edge_count,components,zero_shot,88,qwen3-1.7b-think,qwen3-1.7b,True,integer,7,39,False,True,0.0,0.0,False,False,81.0,True,generator,8192,unaffected,False,0.018,23480,non_terminating,False
edge_existence/size40/p0.1/1,edge_existence,filler,zero_shot,No,qwen3-1.7b-think,qwen3-1.7b,True,integer,No,No,,True,1.0,1.0,False,False,,False,generator,548,revised,True,0.498,1614,correct,False
node_degree/size40/p0.1/2,node_degree,degree,zero_shot,3,qwen3-1.7b-think,qwen3-1.7b,True,integer,3,3,,True,1.0,1.0,False,False,0.0,False,generator,1534,unaffected,True,1.0,4275,correct,False
cycle_check/size40/p0.1/2,cycle_check,all,zero_shot,"Yes, there is a cycle",qwen3-1.7b-think,qwen3-1.7b,True,integer,Yes,Yes,,True,1.0,1.0,False,False,,False,generator,3647,unaffected,True,0.946,8429,correct,False
connected_nodes/size40/p0.1/3,connected_nodes,clustering,zero_shot,"32, 35, 38",qwen3-1.7b-think,qwen3-1.7b,True,integer,"32, 35, 38",6,,True,1.0,1.0,False,False,,False,generator,880,unaffected,True,0.082,2919,correct,False
edge_count/size40/p0.1/4,edge_count,none,zero_shot,80,qwen3-1.7b-think,qwen3-1.7b,True,integer,4,0,False,True,0.0,0.0,False,False,76.0,True,generator,8192,unaffected,False,0.018,16291,non_terminating,False
edge_existence/size40/p0.1/4,edge_existence,rwse,zero_shot,No,qwen3-1.7b-think,qwen3-1.7b,True,integer,No,No,,True,1.0,1.0,False,False,,False,generator,550,revised,True,0.642,1943,correct,False
node_degree/size40/p0.1/5,node_degree,components,zero_shot,5,qwen3-1.7b-think,qwen3-1.7b,True,integer,5,5,,True,1.0,1.0,False,False,0.0,False,generator,1425,unaffected,True,0.082,3426,correct,False
cycle_check/size40/p0.1/5,cycle_check,filler,zero_shot,"Yes, there is a cycle",qwen3-1.7b-think,qwen3-1.7b,True,integer,Yes,Yes,,True,1.0,1.0,False,False,,False,generator,1403,revised,True,0.832,4026,correct,False
connected_nodes/size40/p0.1/6,connected_nodes,degree,zero_shot,"16, 18",qwen3-1.7b-think,qwen3-1.7b,True,integer,"16, 18, 33",31,False,True,0.0,0.0,False,True,,True,generator,8192,unaffected,False,0.208,25050,non_terminating,True
node_count/size40/p0.1/7,node_count,all,zero_shot,40,qwen3-1.7b-think,qwen3-1.7b,True,integer,40,40,,True,1.0,1.0,False,False,0.0,False,generator,1192,unaffected,True,1.0,2321,correct,False
edge_existence/size40/p0.1/7,edge_existence,clustering,zero_shot,Yes,qwen3-1.7b-think,qwen3-1.7b,True,integer,Yes,Yes,,True,1.0,1.0,False,False,,False,generator,536,revised,True,0.72,1846,correct,False
node_degree/size40/p0.1/8,node_degree,none,zero_shot,6,qwen3-1.7b-think,qwen3-1.7b,True,integer,6,6,,True,1.0,1.0,False,False,0.0,False,generator,738,unaffected,True,0.082,2306,correct,False
cycle_check/size40/p0.1/8,cycle_check,rwse,zero_shot,"Yes, there is a cycle",qwen3-1.7b-think,qwen3-1.7b,True,integer,Yes,Yes,,True,1.0,1.0,False,False,,False,generator,2984,unaffected,True,0.832,7417,correct,False
connected_nodes/size40/p0.1/9,connected_nodes,components,zero_shot,"8, 12, 18, 34",qwen3-1.7b-think,qwen3-1.7b,True,integer,"8, 12, 18, 34",4,,True,1.0,1.0,False,False,,False,generator,1713,unaffected,True,0.082,5436,correct,False
node_count/size40/p0.1/10,node_count,filler,zero_shot,40,qwen3-1.7b-think,qwen3-1.7b,True,integer,40,40,,True,1.0,1.0,False,False,0.0,False,generator,904,revised,True,1.0,2015,correct,False
edge_existence/size40/p0.1/10,edge_existence,degree,zero_shot,No,qwen3-1.7b-think,qwen3-1.7b,True,integer,No,No,,True,1.0,1.0,False,False,,False,generator,958,revised,True,0.794,2895,correct,False
edge_count/size40/p0.1/11,edge_count,all,zero_shot,88,qwen3-1.7b-think,qwen3-1.7b,True,integer,159,0,False,True,0.0,0.0,False,False,71.0,True,generator,8192,unaffected,False,1.0,15803,non_terminating,False
cycle_check/size40/p0.1/11,cycle_check,clustering,zero_shot,"Yes, there is a cycle",qwen3-1.7b-think,qwen3-1.7b,True,integer,Yes,No,,True,1.0,1.0,False,False,,False,generator,2638,unaffected,True,0.832,8046,correct,False
connected_nodes/size40/p0.1/12,connected_nodes,none,zero_shot,14,qwen3-1.7b-think,qwen3-1.7b,True,integer,14,20,,True,1.0,1.0,False,False,,False,generator,2025,unaffected,True,0.082,5564,correct,False
node_count/size40/p0.1/13,node_count,rwse,zero_shot,40,qwen3-1.7b-think,qwen3-1.7b,True,integer,40,40,,True,1.0,1.0,False,False,0.0,False,generator,1426,unaffected,True,1.0,2737,correct,False
edge_existence/size40/p0.1/13,edge_existence,components,zero_shot,No,qwen3-1.7b-think,qwen3-1.7b,True,integer,No,No,,True,1.0,1.0,False,False,,False,generator,730,revised,True,0.498,2210,correct,False
edge_count/size40/p0.1/14,edge_count,filler,zero_shot,75,qwen3-1.7b-think,qwen3-1.7b,True,integer,75,75,,True,1.0,1.0,False,False,0.0,False,generator,5262,revised,True,0.018,11746,correct,False
cycle_check/size40/p0.1/14,cycle_check,degree,zero_shot,"Yes, there is a cycle",qwen3-1.7b-think,qwen3-1.7b,True,integer,Yes,Yes,,True,1.0,1.0,False,False,,False,generator,4604,unaffected,True,0.946,13068,correct,False
node_degree/size40/p0.1/15,node_degree,all,zero_shot,5,qwen3-1.7b-think,qwen3-1.7b,True,integer,5,5,,True,1.0,1.0,False,False,0.0,False,generator,874,unaffected,True,1.0,2699,correct,False
node_count/size40/p0.1/16,node_count,clustering,zero_shot,40,qwen3-1.7b-think,qwen3-1.7b,True,integer,40,40,,True,1.0,1.0,False,False,0.0,False,generator,777,unaffected,True,1.0,1702,correct,False
edge_existence/size40/p0.1/16,edge_existence,none,zero_shot,Yes,qwen3-1.7b-think,qwen3-1.7b,True,integer,Yes,Yes,,True,1.0,1.0,False,False,,False,generator,509,revised,True,0.498,1831,correct,False
edge_count/size40/p0.1/17,edge_count,rwse,zero_shot,76,qwen3-1.7b-think,qwen3-1.7b,True,integer,2,0,False,True,0.0,0.0,False,False,74.0,True,generator,8192,unaffected,False,0.018,16103,non_terminating,False
cycle_check/size40/p0.1/17,cycle_check,components,zero_shot,"Yes, there is a cycle",qwen3-1.7b-think,qwen3-1.7b,True,integer,Yes,Yes,,True,1.0,1.0,False,False,,False,generator,8170,unaffected,True,1.0,19834,correct,False
node_degree/size40/p0.1/18,node_degree,filler,zero_shot,4,qwen3-1.7b-think,qwen3-1.7b,True,integer,4,4,,True,1.0,1.0,False,False,0.0,False,generator,506,revised,True,0.082,1687,correct,False
node_count/size40/p0.1/19,node_count,degree,zero_shot,40,qwen3-1.7b-think,qwen3-1.7b,True,integer,40,0,,True,1.0,1.0,False,False,0.0,False,generator,979,unaffected,True,1.0,2864,correct,False
connected_nodes/size40/p0.1/19,connected_nodes,all,zero_shot,"2, 3, 21, 30",qwen3-1.7b-think,qwen3-1.7b,True,integer,"2, 3, 21, 30",23,,True,1.0,1.0,False,False,,False,generator,865,unaffected,True,0.352,2774,correct,False
edge_count/size40/p0.1/20,edge_count,clustering,zero_shot,76,qwen3-1.7b-think,qwen3-1.7b,True,integer,76,76,,True,1.0,1.0,False,False,0.0,False,generator,6891,unaffected,True,0.148,14854,correct,False
cycle_check/size40/p0.1/20,cycle_check,none,zero_shot,"Yes, there is a cycle",qwen3-1.7b-think,qwen3-1.7b,True,integer,Yes,Yes,,True,1.0,1.0,False,False,,False,generator,1676,unaffected,True,0.832,3904,correct,False
